custom/mean_reward,custom/total_distance,custom/routes_completed,custom/avg_speed,custom/total_reward,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/episodes,time/fps,rollout/ep_rew_mean,train/std,attention/throttle_share/lidar,attention/throttle_share/angle,attention/throttle_share/prev_action,attention/throttle/speed,attention/throttle/cam,attention/throttle_share/waypoints,attention/steer/speed,attention/steer_share/angle,attention/throttle/angle,attention/steer/sensors,attention/steer_share/lidar,attention/throttle/sensors,attention/steer/cam,attention/steer_share/prev_action,attention/steer_share/waypoints,attention/throttle_share/maneuver,attention/throttle/maneuver,attention/steer/maneuver,attention/steer_sensors_vs_route,attention/steer_share/cam,attention/steer/route,attention/steer_share/speed,attention/throttle/waypoints,attention/steer/waypoints,attention/steer_share/maneuver,attention/throttle/lidar,attention/steer/angle,attention/throttle_share/speed,attention/throttle/prev_action,attention/throttle/route,attention/steer/lidar,attention/steer/prev_action,attention/throttle_share/cam,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/n_updates
-0.05392753200011245,26.212930128676817,0.013612565445026177,16.702712470793116,-6.14773864801282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.061397772708873234,22.04820724471938,0.010816125860373648,16.880045650894502,-5.8327884073429574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.17170882029110512,6.569592889281921,0.003219871205151794,9.937161756301228,-8.413732194264151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.142575386754009,8.656880233436823,0.005169442848937392,11.15943916055551,-8.126797044978513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,77.75,311,10,4,29,-7.156088749999999,0.22313019633293152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.03803195074720549,13.720945799141191,0.008249312557286892,13.524071885297795,-2.814364355293206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.08571334564441692,11.08154914865736,0.00728476821192053,11.587084046787654,-5.9999341951091845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02695311189713868,30.384771162294783,0.01661721068249258,18.519950977099008,3.207420315759503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0678361018558033,12.95170364837395,0.004948453608247422,13.171929235662297,-4.884199333617838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,80.25,642,23,8,27,-4.9066455,0.22313019633293152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
